filename,extension,path,md5,console
"Shinobi (USA, Europe, Brazil) (Rev 1).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Shinobi (USA, Europe, Brazil) (Rev 1).zip",b72ee45ecf71cba1bef5a8bc2cd4988f,mastersystem
"Alex Kidd in Shinobi World (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Alex Kidd in Shinobi World (USA, Europe, Brazil).zip",c79eed52149e07f3339e5361d94d5f46,mastersystem
Montezuma's Revenge featuring Panama Joe (USA) (Beta).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Montezuma's Revenge featuring Panama Joe (USA) (Beta).zip,e7c40cdf61d556c21cf5a1934ab85432,mastersystem
Wing Warriors.zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Wing Warriors.zip,49c4158c142120ea05e66ab9d34ddd5e,mastersystem
Great Football (World).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Great Football (World).zip,e84b342854356d3de6bb24467285275a,mastersystem
"Cyborg Hunter (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Cyborg Hunter (USA, Europe, Brazil).zip",e7e2c57b7fd6dd3271c423f08560a23e,mastersystem
"Pro Wrestling (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Pro Wrestling (USA, Europe, Brazil).zip",1f62d8799c608222aeff1bb46221037c,mastersystem
James 'Buster' Douglas Knockout Boxing (USA).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/James 'Buster' Douglas Knockout Boxing (USA).zip,281a61932db636851af255f5300dab31,mastersystem
"Psycho Fox (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Psycho Fox (USA, Europe, Brazil).zip",cbd2065521478dbf579a8572bb3fe07c,mastersystem
"Shooting Gallery ~ Shooting G. (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Shooting Gallery ~ Shooting G. (USA, Europe, Brazil).zip",077b2ab8cdfb03cc8b9ed8f28ce46a72,mastersystem
"Strider (USA, Europe, Brazil) (Demo).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Strider (USA, Europe, Brazil) (Demo).zip",16dd049086b2aaca4a25f7304d9400c3,mastersystem
"Altered Beast (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Altered Beast (USA, Europe, Brazil).zip",60b4313c00cf1d92e485fcef0075056e,mastersystem
Weka Invaders.zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Weka Invaders.zip,b709c0c8bbf6d2125d6bf477318d40c9,mastersystem
"Castle of Illusion Starring Mickey Mouse (USA, Brazil) (Demo).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Castle of Illusion Starring Mickey Mouse (USA, Brazil) (Demo).zip",9c3c64fa3039acd54f154be34b675ecd,mastersystem
"Cloud Master (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Cloud Master (USA, Europe, Brazil).zip",4add4faaba6a022b5b7d66f661f8039a,mastersystem
"Penguin Land (USA, Europe).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Penguin Land (USA, Europe).zip",f215a8000cb1ed59afa9cdb79438fa1c,mastersystem
"E-SWAT (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/E-SWAT (USA, Europe, Brazil).zip",222ca67fc5653b089e2fce9b2e22c7ff,mastersystem
"Strider (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Strider (USA, Europe, Brazil).zip",68e86a09821c24ca9129ed7a218f880f,mastersystem
"Ghost House (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Ghost House (USA, Europe, Brazil).zip",e69951f4bd0093e5add357c673f9ae60,mastersystem
"Phantasy Star (USA, Europe) (Rev 1).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Phantasy Star (USA, Europe) (Rev 1).zip",f8dd8f1651d38a724d302da44f3b9b21,mastersystem
"Golden Axe (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Golden Axe (USA, Europe, Brazil).zip",41c2a4158714d7751ed826ee534dafdd,mastersystem
"Enduro Racer ~ Super Cross (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Enduro Racer ~ Super Cross (USA, Europe, Brazil).zip",c1a5073ce8d5081ab8a4c8a13df6348a,mastersystem
"Miracle Warriors - Seal of the Dark Lord (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Miracle Warriors - Seal of the Dark Lord (USA, Europe, Brazil).zip",52033b4492a90c13993db642d744c987,mastersystem
"Ghost House (USA, Europe, Brazil) (Beta).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Ghost House (USA, Europe, Brazil) (Beta).zip",f56b63518e0adc6001b0539a36327bc8,mastersystem
"Rescue Mission (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Rescue Mission (USA, Europe, Brazil).zip",836297682b174e31c9a5c7fbe24f081e,mastersystem
Super Monaco GP (USA) (Beta).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Super Monaco GP (USA) (Beta).zip,8556538cc4ccb8254967f62bb7cf9e3f,mastersystem
"Wonder Boy in Monster Land (USA, Europe) (Beta).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Wonder Boy in Monster Land (USA, Europe) (Beta).zip",44bcdc152ea95d4ca552a7bf2fbc1f10,mastersystem
Super Basketball (USA) (Demo).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Super Basketball (USA) (Demo).zip,8cb47b6792e0e62db70f32fd272c0ad0,mastersystem
"Great Volleyball (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Great Volleyball (USA, Europe, Brazil).zip",e9c1842e51546fa660082476caf53441,mastersystem
"Ghostbusters (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Ghostbusters (USA, Europe, Brazil).zip",1cbc931e693d1e701f19056e90dbeee9,mastersystem
"TransBot (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/TransBot (USA, Europe, Brazil).zip",2eda89d4026475714e26f06a691ab197,mastersystem
Monopoly (USA) (Beta).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Monopoly (USA) (Beta).zip,7177fb28ddfdc20385bc9b2acf4ef03b,mastersystem
